text	category	priority
Professor does not teach well	Academics	High
Hostel food is not good	Hostel	Medium
Books not available in library	Library	Medium
WiFi is not working	Infrastructure	High
Fees are too high	Finance	Medium
Water problem in campus	Infrastructure	High
Electricity goes off frequently	Infrastructure	High
Canteen is not clean	Hostel	Medium
Exam schedule not announced	Academics	High
Classroom facilities are poor	Infrastructure	Medium
Lab equipment not working	Academics	Medium
Bus does not come on time	Transport	Medium
Had a fight with roommate	Hostel	Low
Placement cell is not working	Placement	High
Error in marksheet	Academics	High
Scholarship not received	Finance	High
Toilets are not clean	Infrastructure	High
Sports facility not available	Extracurricular	Low
No medical facility on campus	Health	High
Registration process issue	Administration	Medium
Assignment submission problem	Academics	Medium
Project guide not available	Academics	High
Insects in hostel room	Hostel	Medium
No parking space on campus	Infrastructure	Low
No ATM on campus	Infrastructure	Low
Computer lab not available	Academics	Medium
Printout is expensive	Finance	Low
AC not working in hostel	Infrastructure	Medium
Guest lecture not organized	Academics	Low
No support for internship	Placement	High
Hostel fee increased	Finance	Medium
Club activities not happening	Extracurricular	Low
Security guard misbehaved	Administration	Medium
Library closes early	Library	Medium
Tutorial classes not useful	Academics	Medium
Results declared late	Academics	High
Study material not provided	Academics	Medium
Professor behavior is bad	Academics	High
No water in washroom	Infrastructure	High
Gym facility not available	Extracurricular	Low
Mess timing is inconvenient	Hostel	Medium
Classroom lighting is poor	Infrastructure	Medium
Course is not updated	Academics	High
Online portal has issues	Administration	High
Faculty is irregular	Academics	High
Bus frequency is less	Transport	Medium
Hostel is too hot	Hostel	Medium
No heater in hostel room	Hostel	Medium
Doctor does not visit regularly	Health	High
Exam center is far	Academics	Medium
Revaluation process is slow	Academics	High
Study tours not organized	Academics	Low
Canteen food is expensive	Finance	Medium
Duplicate ID card issued	Administration	Medium
Workshop training not practical	Academics	Medium
Semester fee deadline is short	Finance	High
Bonafide certificate delayed	Administration	Medium
Sports kit not provided	Extracurricular	Low
Low participation in events	Extracurricular	Low
No CCTV on campus	Infrastructure	High
Gate pass issue	Administration	Medium
No night canteen available	Hostel	Low
Too much noise in hostel	Hostel	Medium
Bus driver drives rashly	Transport	High
Attendance system has errors	Academics	High
Projector not working in class	Infrastructure	Medium
